bikes,disponibilityRate,name,zone,occupyRate,free,datetime,active,bases,dateMilliseconds,address,lat,lng,id
2,92,General Pardiñas,40.43--3.68,8,25,2014-07-10 19:00:08.951000,True,27,1405018808000,Calle Goya No 18,40.4250361,-3.6837876,90
23,4,Principe de Vergara,40.43--3.68,96,1,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Hermosilla,40.426134,-3.6787441,91
4,83,Claudio Coello,40.43--3.69,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Claudio Coello No 45,40.4262945,-3.6865463,92
4,83,Goya Colon,40.43--3.69,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Colon-Goya,40.4257046,-3.6893698,93
8,61,Biblioteca Nacional,40.42--3.69,39,13,2014-07-10 19:00:08.951000,True,21,1405018808000,Paseo de Recoletos (Biblioteca Nacional),40.422699,-3.6909648,94
5,79,Villanueva,40.42--3.69,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Claudio Coello No 109,40.4226584,-3.6870548,95
7,74,Castello,40.42--3.68,26,20,2014-07-10 19:00:08.951000,True,27,1405018808000,Calle Alcala no 111,40.422064,-3.6821793,96
8,66,Alcala,40.42--3.68,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Menendez Pelayo No 3,40.4226906,-3.6801307,97
9,62,Pza. Felipe II,40.42--3.68,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza Felipe II,40.4242625,-3.6753567,98
24,0,Alcantara,40.43--3.67,100,0,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Alcantara,40.4261851,-3.6738714,99
7,70,Palacio de Deportes,40.42--3.67,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,Goya 99,40.4248457,-3.6738635,100
1,95,Jorge Juan,40.42--3.67,5,23,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Jorge Juan No 131,40.4231526,-3.6691523,101
12,50,Velazquez,40.42--3.68,50,12,2014-07-10 19:00:08.951000,True,24,1405018808000, Calle Alcala No 95,40.4211802,-3.6840229,102
7,70,Ortega y Gasset,40.43--3.69,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,C/ Ortega y Gasset,40.4303057,-3.6865654,103
8,61,Castellana,40.43--3.69,39,13,2014-07-10 19:00:08.951000,True,21,1405018808000,Paseo de la Castellana No 4,40.4268331,-3.6895336,104
10,58,Ayala,40.43--3.69,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,Serrano esquina Ayala,40.4267905,-3.6873922,105
1,94,Colon A,40.43--3.69,6,17,2014-07-10 19:00:08.951000,True,18,1405018808000,Serrano esquina Goya,40.4251002,-3.6877227,106a
3,83,Colon B,40.42--3.69,17,15,2014-07-10 19:00:08.951000,True,18,1405018808000,Serrano esquina Goya,40.424963,-3.687745,106b
5,79,Columela,40.42--3.69,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Serrano esquina Columela,40.4215246,-3.6884369,107
13,51,Martires Concepcionistas,40.43--3.67,49,14,2014-07-10 19:00:08.951000,True,27,1405018808000,c/Martires Concepcionistas No 2,40.4283867,-3.669685,108
8,66,Marques de Salamanca,40.43--3.68,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza Marques de Salamanca,40.4300481,-3.6816402,109
8,66,Moncloa,40.43--3.72,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Paseo de Moret,40.4344969,-3.7206893,110
10,58,Arcipreste de Hita A,40.43--3.72,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Arcipreste de Hita,40.4337322,-3.7175435,111a
7,70,Arcipreste de Hita B,40.43--3.72,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Arcipreste de Hita,40.4337036,-3.7175115,111b
12,50,Po Moret,40.43--3.72,50,12,2014-07-10 19:00:08.951000,True,24,1405018808000,Paseo Pintor Rosales,40.4325991,-3.7246532,112
2,91,Pintor Rosales,40.43--3.72,9,22,2014-07-10 19:00:08.951000,True,24,1405018808000,Paseo Pintor Rosales,40.427657,-3.7205129,113
5,79,Quintana,40.43--3.72,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,"Calle Quintana,11-13",40.4277456,-3.7174158,114
8,66,Ferraz,40.43--3.72,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Paseo Pintor Rosales,40.4253944,-3.7170448,115
2,91,Pza. España A,40.42--3.71,9,22,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de España,40.4225618,-3.7123461,116a
5,79,Pza. España B,40.42--3.71,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de España,40.4226547,-3.712188,116b
6,75,Altamirano,40.43--3.72,25,18,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Altamirano,40.4309797,-3.7188898,117
8,66,Juan Martin,40.4--3.69,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Juan Martin el Empecinado,40.400781,-3.6882407,118
4,83,Mendez Álvaro,40.4--3.69,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Méndez Álvaro,40.4013216,-3.6863218,119
17,29,Palos de la Frontera,40.4--3.69,71,7,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Palos de la Frontera,40.4032208,-3.6944768,120
21,12,Sta. Mª de la Cabeza,40.4--3.7,88,3,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Santa Maria de la Cabeza,40.4017926,-3.6987665,121
3,87,Santa Engracia,40.43--3.7,13,21,2014-07-10 19:00:08.951000,True,24,1405018808000,c/Santa Engracia c/v c/Zurbarán,40.4295863,-3.6963983,122
4,83,Guzmán el Bueno,40.43--3.71,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,c/ Guzman el Bueno c/v c/Alberto Aguilera,40.4306458,-3.7133412,123
